Method,Name,Error,Occurrences
GET,/api/users/9,"ConnectionRefusedError(61, 'Connection refused')",8
PATCH,/api/users/12,"ConnectionRefusedError(61, 'Connection refused')",1
PATCH,/api/users/10,"ConnectionRefusedError(61, 'Connection refused')",5
PATCH,/api/users/7,"ConnectionRefusedError(61, 'Connection refused')",3
PUT,/api/users/2,"ConnectionRefusedError(61, 'Connection refused')",4
DELETE,/api/users/2,"ConnectionRefusedError(61, 'Connection refused')",2
GET,/api/unknown/5,"ConnectionRefusedError(61, 'Connection refused')",1
GET,/api/users/11,"ConnectionRefusedError(61, 'Connection refused')",4
GET,/api/users?page=2,"ConnectionRefusedError(61, 'Connection refused')",94
DELETE,/api/users/3,"ConnectionRefusedError(61, 'Connection refused')",3
GET,/api/unknown/12,"ConnectionRefusedError(61, 'Connection refused')",4
DELETE,/api/users/8,"ConnectionRefusedError(61, 'Connection refused')",1
PATCH,/api/users/11,"ConnectionRefusedError(61, 'Connection refused')",4
POST,/api/register,"ConnectionRefusedError(61, 'Connection refused')",61
GET,/api/users/10,"ConnectionRefusedError(61, 'Connection refused')",1
DELETE,/api/users/4,"ConnectionRefusedError(61, 'Connection refused')",4
GET,/api/unknown/6,"ConnectionRefusedError(61, 'Connection refused')",6
PUT,/api/users/5,"ConnectionRefusedError(61, 'Connection refused')",2
GET,/api/users?delay=3,"ConnectionRefusedError(61, 'Connection refused')",28
PATCH,/api/users/8,"ConnectionRefusedError(61, 'Connection refused')",7
PUT,/api/users/9,"ConnectionRefusedError(61, 'Connection refused')",4
PUT,/api/users/6,"ConnectionRefusedError(61, 'Connection refused')",2
GET,/api/users/4,"ConnectionRefusedError(61, 'Connection refused')",6
GET,/api/unknown/9,"ConnectionRefusedError(61, 'Connection refused')",3
DELETE,/api/users/9,"ConnectionRefusedError(61, 'Connection refused')",5
PATCH,/api/users/2,"ConnectionRefusedError(61, 'Connection refused')",1
PUT,/api/users/8,"ConnectionRefusedError(61, 'Connection refused')",2
GET,/api/users/12,"ConnectionRefusedError(61, 'Connection refused')",6
GET,/api/unknown/8,"ConnectionRefusedError(61, 'Connection refused')",5
DELETE,/api/users/7,"ConnectionRefusedError(61, 'Connection refused')",6
PUT,/api/users/11,"ConnectionRefusedError(61, 'Connection refused')",3
PUT,/api/users/3,"ConnectionRefusedError(61, 'Connection refused')",1
GET,/api/unknown/10,"ConnectionRefusedError(61, 'Connection refused')",4
PUT,/api/users/10,"ConnectionRefusedError(61, 'Connection refused')",2
GET,/api/users/2,"ConnectionRefusedError(61, 'Connection refused')",4
PATCH,/api/users/9,"ConnectionRefusedError(61, 'Connection refused')",4
POST,/api/login,"ConnectionRefusedError(61, 'Connection refused')",60
GET,/api/unknown/1,"ConnectionRefusedError(61, 'Connection refused')",2
GET,/api/users/8,"ConnectionRefusedError(61, 'Connection refused')",7
GET,/api/unknown/11,"ConnectionRefusedError(61, 'Connection refused')",4
GET,/api/unknown/2,"ConnectionRefusedError(61, 'Connection refused')",6
GET,/api/users/6,"ConnectionRefusedError(61, 'Connection refused')",8
POST,/api/users,"ConnectionRefusedError(61, 'Connection refused')",27
PATCH,/api/users/6,"ConnectionRefusedError(61, 'Connection refused')",1
GET,/api/unknown,"ConnectionRefusedError(61, 'Connection refused')",65
GET,/api/users/7,"ConnectionRefusedError(61, 'Connection refused')",2
GET,/api/unknown/7,"ConnectionRefusedError(61, 'Connection refused')",6
DELETE,/api/users/12,"ConnectionRefusedError(61, 'Connection refused')",8
PATCH,/api/users/1,"ConnectionRefusedError(61, 'Connection refused')",5
GET,/api/users/3,"ConnectionRefusedError(61, 'Connection refused')",9
DELETE,/api/users/6,"ConnectionRefusedError(61, 'Connection refused')",6
DELETE,/api/users/10,"ConnectionRefusedError(61, 'Connection refused')",3
GET,/api/users/5,"ConnectionRefusedError(61, 'Connection refused')",11
PUT,/api/users/12,"ConnectionRefusedError(61, 'Connection refused')",3
PATCH,/api/users/5,"ConnectionRefusedError(61, 'Connection refused')",3
PUT,/api/users/7,"ConnectionRefusedError(61, 'Connection refused')",3
PUT,/api/users/1,"ConnectionRefusedError(61, 'Connection refused')",3
DELETE,/api/users/1,"ConnectionRefusedError(61, 'Connection refused')",1
PATCH,/api/users/4,"ConnectionRefusedError(61, 'Connection refused')",3
PATCH,/api/users/3,"ConnectionRefusedError(61, 'Connection refused')",4
PUT,/api/users/4,"ConnectionRefusedError(61, 'Connection refused')",3
GET,/api/unknown/4,"ConnectionRefusedError(61, 'Connection refused')",4
GET,/api/users/1,"ConnectionRefusedError(61, 'Connection refused')",6
DELETE,/api/users/5,"ConnectionRefusedError(61, 'Connection refused')",5
