Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/api/login,60,60,3,3.4887874833334402,0.9986670000046161,12.860666999998216,0.0,1.0058794355972054,1.0058794355972054,3,4,4,5,5,7,11,13,13,13,13
POST,/api/register,61,61,3,3.016153032786656,1.101541000004147,8.982125000000174,0.0,1.0226440928571587,1.0226440928571587,3,3,4,4,4,5,5,9,9,9,9
GET,/api/unknown,65,65,3,3.206489046153817,0.9327080000005594,5.87845800000153,0.0,1.0897027218969726,1.0897027218969726,3,4,4,5,5,5,6,6,6,6,6
GET,/api/unknown/1,2,2,3.6577500000021246,3.623833000000687,3.589915999999249,3.6577500000021246,0.0,0.033529314519906844,0.033529314519906844,4,4,4,4,4,4,4,4,4,4,4
GET,/api/unknown/10,4,4,1.1368750000002592,2.3129584999992403,1.1368750000002592,4.670459000003291,0.0,0.06705862903981369,0.06705862903981369,2,2,5,5,5,5,5,5,5,5,5
GET,/api/unknown/11,4,4,2,2.297812250000586,1.4034160000022666,3.6114999999998787,0.0,0.06705862903981369,0.06705862903981369,3,3,4,4,4,4,4,4,4,4,4
GET,/api/unknown/12,4,4,4,4.040051999999683,3.3577089999994314,4.656041000000499,0.0,0.06705862903981369,0.06705862903981369,4,4,5,5,5,5,5,5,5,5,5
GET,/api/unknown/2,6,6,3,4.134965333334388,1.1270410000037145,8.617458999999883,0.0,0.10058794355972055,0.10058794355972055,4,4,4,4,9,9,9,9,9,9,9
GET,/api/unknown/4,4,4,2,2.8087815000006344,1.5528340000017238,3.85408300000023,0.0,0.06705862903981369,0.06705862903981369,3,3,4,4,4,4,4,4,4,4,4
GET,/api/unknown/5,1,1,3.6180409999992946,3.6180409999992946,3.6180409999992946,3.6180409999992946,0.0,0.016764657259953422,0.016764657259953422,4,4,4,4,4,4,4,4,4,4,4
GET,/api/unknown/6,6,6,3,3.4375625000002685,1.3632920000006266,7.699041000000406,0.0,0.10058794355972055,0.10058794355972055,3,3,4,4,8,8,8,8,8,8,8
GET,/api/unknown/7,6,6,3,2.7891598333327217,1.1184170000007043,4.256374999997092,0.0,0.10058794355972055,0.10058794355972055,3,3,4,4,4,4,4,4,4,4,4
GET,/api/unknown/8,5,5,4,3.513549800000426,1.9247910000004254,4.968125000001322,0.0,0.08382328629976712,0.08382328629976712,4,4,4,5,5,5,5,5,5,5,5
GET,/api/unknown/9,3,3,2,2.485875333334775,1.4603750000006244,3.9415840000032176,0.0,0.05029397177986027,0.05029397177986027,2,2,4,4,4,4,4,4,4,4,4
POST,/api/users,27,27,3,3.0654181481477667,1.1334999999945694,4.688165999997551,0.0,0.4526457460187424,0.4526457460187424,3,4,4,4,4,4,5,5,5,5,5
DELETE,/api/users/1,1,1,1.2192499999983397,1.2192499999983397,1.2192499999983397,1.2192499999983397,0.0,0.016764657259953422,0.016764657259953422,1,1,1,1,1,1,1,1,1,1,1
GET,/api/users/1,6,6,5,4.614868333333281,1.8640840000010428,7.982041999999634,0.0,0.10058794355972055,0.10058794355972055,5,5,5,5,8,8,8,8,8,8,8
PATCH,/api/users/1,5,5,2,2.730516999999466,1.5690839999962236,4.328125000000682,0.0,0.08382328629976712,0.08382328629976712,2,3,3,4,4,4,4,4,4,4,4
PUT,/api/users/1,3,3,2.062999999999704,2.865485999999843,2.062999999999704,4.355875000001674,0.0,0.05029397177986027,0.05029397177986027,2,2,4,4,4,4,4,4,4,4,4
DELETE,/api/users/10,3,3,4,2.9921806666652153,1.057208999995396,4.381957999999742,0.0,0.05029397177986027,0.05029397177986027,4,4,4,4,4,4,4,4,4,4,4
GET,/api/users/10,1,1,1.1480829999968023,1.1480829999968023,1.1480829999968023,1.1480829999968023,0.0,0.016764657259953422,0.016764657259953422,1,1,1,1,1,1,1,1,1,1,1
PATCH,/api/users/10,5,5,2,2.9945334000002433,1.4644590000010282,5.400542000003838,0.0,0.08382328629976712,0.08382328629976712,2,3,3,5,5,5,5,5,5,5,5
PUT,/api/users/10,2,2,4,4.3258330000019996,3.878832999999915,4.772833000004084,0.0,0.033529314519906844,0.033529314519906844,5,5,5,5,5,5,5,5,5,5,5
GET,/api/users/11,4,4,4,3.5236562499996182,2.276416000000836,4.430375000000097,0.0,0.06705862903981369,0.06705862903981369,4,4,4,4,4,4,4,4,4,4,4
PATCH,/api/users/11,4,4,2,3.40693774999945,1.3100420000000668,5.274583999998583,0.0,0.06705862903981369,0.06705862903981369,5,5,5,5,5,5,5,5,5,5,5
